uuid,Members,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:1140
2f8dba15-95b4-4e1e-a2cf-10f3b2510ed8,,Protocole de 1ère ligne,1st line protocol,Protocole de 1ère ligne,1st line protocol,ConvSet,N/A,,
da334532-dbb3-4456-b684-55fcb42e6fcb,,Protocole de 2ème ligne,2nd line protocol,Protocole de 2ème ligne,2nd line protocol,ConvSet,N/A,,
89640844-136a-470e-9371-37b26dd7d3c2,,Protocole de 3ème ligne,3rd line protocol,Protocole de 3ème ligne,3rd line protocol,ConvSet,N/A,,
fa7e7514-146b-4add-92ee-95d6e03315e0,,Prophylaxie pour Enfant,Child Prophylaxis,Prophylaxie pour Enfant,Child Prophylaxis,ConvSet,N/A,,
48990aed-5d90-4165-8d56-6e03e9914951,,Prophylaxie pour adulte,Adult Prophylaxis,Prophylaxie pour adulte,Adult Prophylaxis,ConvSet,N/A,,
