Uuid,Members,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Data class,Data type,_version:1,_order:1000
9e5c23f7-b545-41f9-8ff3-5de2dd2e8730,,Lost to follow up,Suivi perdu,Lost to follow up,Suivi perdu,Misc,N/A,,
1ee9e754-d595-49d9-b22c-8808a298ae4b,cb0f2002-7712-4526-bc30-345c8a699509;bc1bdd23-0264-4831-8b13-1bdbc45f1763;b949cd75-97cb-4de2-9553-e6d335696f07;9e5c23f7-b545-41f9-8ff3-5de2dd2e8730,HIV Outcomes,Résultat du programme VIH,HIV Outcomes,Résultat du programme VIH,Misc,N/A,,
